"Timestamp","Have you ever worked remotely (Please exit if No)","Age:","Gender:","Job Role:","Industry:","Years of Experience in Current Role: ","Work Location:","Hours Worked Per Week","Number of Virtual Meetings Per Week:","Work Life Balance Rating with One being the lowest(Poor balance) and five the highest ( well balanced):","What is your stress level while working remotely?","How would you describe your overall mental health condition while working remotely:","Do you have access to mental health resources:","Rate your Productivity Change working Remotely:","Rate your Social Isolation while working remotely with One being the lowest(very Isolated) and five being the highest (not Isolated): ","Rate your satisfaction with working Remotely:","Rate your Company support while working remotely with One being the lowest(not supported) and five being  the highest(well supported):","Rate your sleep quality While working remotely:","Region:"
"2024/10/21 4:18:31 PM EST","Yes","20 - 29","Female","PCC","Health Care","Less than 1 year","Remote","40-49","0-9","Two","Medium","None","Yes","Increase","Two","Neutral","Three","Average","Africa"
"2024/10/21 9:29:30 PM EST","No","40 - 49","Female","Journalist ","Media","More than 10 years","Onsite","20-29","0-9","Three","Low","None","Yes","Increase","Three","Neutral","One","Average","Africa"
"2024/10/22 2:30:48 AM EST","Yes","30 - 39","Male","Process Engineer ","Engineering","More than 10 years","Onsite","40-49","0-9","Four","Medium","None","Yes","Increase","Four","Satisfied","Four","Average","Africa"
"2024/10/22 3:47:19 AM EST","Yes","20 - 29","Female","Data Scientist","IT","1-3 years","Remote","40-49","0-9","Three","Low","Anxiety","No","Increase","Two","Satisfied","One","Average","Africa"
"2024/10/22 10:32:00 AM EST","Yes","30 - 39","Female","Sales","Retail","1-3 years","Remote","20-29","0-9","Two","Low","None","Yes","Increase","Three","Satisfied","Five","Average","Africa"
"2024/10/22 10:34:04 AM EST","Yes","30 - 39","Female","Marketing","Consulting","4-6 years","Hybrid","60 and above","20-29","Three","Medium","Anxiety","No","Decrease","Three","Neutral","Three","Average","Africa"
"2024/10/22 11:52:44 AM EST","Yes","20 - 29","Female","Communicator","Consulting","1-3 years","Onsite","20-29","0-9","Three","Medium","None","Yes","Increase","Three","Satisfied","Three","Good","Africa"
"2024/10/22 12:34:15 PM EST","No","30 - 39","Female","Military personnel ","Security ","7-10 years","Hybrid","","0-9","Three","Low","Anxiety","No","No Change","One","Neutral","Three","Average","Africa"
"2024/10/22 1:16:27 PM EST","Yes","30 - 39","Female","Designer","","More than 10 years","Onsite","30-39","0-9","Three","Medium","None","No","Increase","Three","Neutral","One","Average","Africa"
"2024/10/22 2:07:04 PM EST","Yes","40 - 49","Male","Process Engineer.","Oil and Gas Extraction ","1-3 years","Onsite","60 and above","20-29","One","High","Burnout","Yes","No Change","Five","Unsatisfied","One","Poor","Africa"
"2024/10/22 2:17:57 PM EST","Yes","50  - 59","Female","HR","","4-6 years","Onsite","40-49","0-9","Four","Medium","Burnout","Yes","Decrease","Three","Neutral","Three","Average","Africa"
"2024/10/22 3:22:55 PM EST","Yes","30 - 39","Male","Business Analyst","Non-Profit","Less than 1 year","Remote","30-39","0-9","Five","Low","None","Yes","Decrease","Five","Satisfied","Four","Good","North America"
"2024/10/22 3:23:57 PM EST","Yes","40 - 49","Female","HR","Oil and Gas","More than 10 years","Hybrid","40-49","0-9","Three","Low","None","Yes","Increase","Two","Satisfied","Three","Good","Africa"
"2024/10/23 9:37:28 AM EST","Yes","40 - 49","Male","Project Manager","Oil & Gas","More than 10 years","Hybrid","40-49","10-19","Four","Medium","None","Yes","No Change","Three","Satisfied","Four","Good","North America"
"2024/10/25 10:22:27 AM EST","Yes","Under 20","Male","Customer service ","Service ","1-3 years","Remote","30-39","0-9","Three","Low","Depression","No","Decrease","Five","Satisfied","Two","Average","North America"
"2024/10/25 2:12:03 PM EST","Yes","30 - 39","Female","Executive assistant ","Oil, Gas, Energy ","4-6 years","Onsite","40-49","0-9","Three","Low","None","Yes","Increase","Three","Satisfied","Five","Good","Africa"
"2024/10/25 8:33:54 PM EST","No","30 - 39","Female","","IT","1-3 years","Onsite","20-29","0-9","Three","Medium","Burnout","No","Decrease","Three","Neutral","Three","Average","Africa"
"2024/10/27 2:51:41 PM EST","No","60 - and above","Female","","Education","More than 10 years","Hybrid","40-49","0-9","Four","Medium","None","No","No Change","Three","Neutral","Four","Good","Africa"
"2024/10/27 2:55:09 PM EST","Yes","60 - and above","Female","Lecturing","Education","More than 10 years","Hybrid","40-49","0-9","Four","Medium","None","Yes","No Change","Three","Neutral","Three","Good","Africa"
"2024/10/27 3:26:35 PM EST","Yes","40 - 49","Female","Project Manager","Government ","More than 10 years","Remote","30-39","10-19","Three","Low","Anxiety","Yes","Increase","One","","One","Poor","North America"
"2024/10/28 3:37:44 AM EST","No","30 - 39","Female","","","More than 10 years","","40-49","0-9","","Medium","Anxiety","No","No Change","","","","",""
"2024/10/28 8:52:32 AM EST","Yes","30 - 39","Male","Software Engineer","IT","4-6 years","Remote","20-29","0-9","Five","Low","None","Yes","Increase","Five","Satisfied","Four","Good","South America"
"2024/10/28 10:16:35 AM EST","Yes","40 - 49","Female","Project Manager","Education","Less than 1 year","Hybrid","40-49","0-9","Three","Medium","Anxiety","Yes","Increase","One","Satisfied","Four","Poor","Africa"
"2024/10/30 8:15:23 AM EST","Yes","30 - 39","Male","Admin ","Health Care","4-6 years","Remote","40-49","0-9","Two","Low","Burnout","Yes","Increase","Four","Satisfied","Three","Average","Africa"
"2024/11/02 9:49:38 AM EST","Yes","30 - 39","Male","Law practice ","Judiciary ","More than 10 years","Hybrid","40-49","10-19","Three","Low","Anxiety","No","Decrease","Two","Neutral","Two","Good","Africa"
"2024/11/22 5:41:28 PM EST","Yes","40 - 49","Female","Manager","Health Care","7-10 years","Remote","40-49","10-19","Four","Low","None","Yes","Increase","Three","Satisfied","Five","Good","North America"
"2024/12/02 11:02:50 AM EST","No","30 - 39","Female","Data Scientist","IT","1-3 years","Onsite","20-29","0-9","Two","Medium","Depression","No","No Change","One","Neutral","Two","Average","North America"
"2024/12/02 11:06:42 AM EST","Yes","30 - 39","Male","Banking ","Finance","7-10 years","Hybrid","50-59","10-19","Two","High","Burnout","No","Decrease","Two","Unsatisfied","Two","Average","Africa"
"2024/12/06 5:54:54 AM EST","Yes","40 - 49","Male","Sales","Gaming","7-10 years","Remote","40-49","10-19","Five","Low","None","Yes","Increase","Four","Satisfied","Five","Good","Africa"
"2024/12/06 10:24:30 AM EST","Yes","30 - 39","Male","Project Manager","Manufacturing","4-6 years","Hybrid","30-39","0-9","Three","Medium","None","No","No Change","Three","Neutral","Four","Average","Africa"
"2024/12/18 6:29:32 AM EST","Yes","20 - 29","Female","Marketing","Manufacturing","1-3 years","Remote","30-39","10-19","Three","Medium","Burnout","No","Increase","One","Satisfied","Three","Average","Africa"
"2024/12/18 6:34:47 AM EST","Yes","20 - 29","Female","Virtual assistant ","Finance","4-6 years","Remote","20-29","0-9","Five","Medium","None","Yes","Increase","Three","Satisfied","Four","Good","South America"
"2024/12/18 6:36:11 AM EST","Yes","20 - 29","Female","Virtual assistant ","Finance","4-6 years","Remote","20-29","0-9","Five","Medium","None","Yes","Increase","Four","Satisfied","Four","Good","South America"
"2024/12/18 6:36:23 AM EST","Yes","30 - 39","Male","Data Scientist","IT","4-6 years","Remote","40-49","10-19","Three","High","Burnout","No","Decrease","Three","Neutral","Three","Average","Africa"
"2024/12/18 6:58:32 AM EST","Yes","20 - 29","Female","Sales","Retail","Less than 1 year","Remote","20-29","10-19","One","Medium","None","No","Increase","One","Satisfied","Four","Average","Africa"
"2024/12/18 7:12:12 AM EST","Yes","40 - 49","Male","Project Manager","Oil and gas","1-3 years","Remote","30-39","10-19","Two","Medium","Burnout","Yes","No Change","Five","Satisfied","Five","Good","Africa"
"2024/12/18 7:15:12 AM EST","Yes","20 - 29","Female","Administration ","Education","1-3 years","Onsite","20-29","0-9","Three","Medium","None","","Increase","Three","Satisfied","Three","Good","Africa"
"2024/12/18 7:26:54 AM EST","Yes","20 - 29","Female","Marketing, Project Management, Design. ","NGO","1-3 years","Hybrid","60 and above","10-19","Three","Low","None","No","No Change","Three","Satisfied","Three","Average","Africa"
"2024/12/18 7:27:05 AM EST","Yes","20 - 29","Female","Marketing","Consulting","1-3 years","Remote","30-39","30-39","Three","Medium","Anxiety","No","No Change","Four","Neutral","Two","Poor","Africa"
"2024/12/18 7:31:46 AM EST","Yes","20 - 29","Female","Sales","Manufacturing","Less than 1 year","Remote","20-29","0-9","Two","Medium","None","No","Increase","Two","Satisfied","Two","Average","Africa"
"2024/12/18 7:36:41 AM EST","Yes","20 - 29","Female","Social media strategists ","Consulting","Less than 1 year","Onsite","20-29","0-9","Three","Medium","Anxiety","Yes","Increase","Two","Neutral","Three","Average","Africa"
"2024/12/18 8:42:44 AM EST","Yes","40 - 49","Male","HSE Officer ","Oil and gas","4-6 years","Onsite","40-49","10-19","Three","Low","None","No","Increase","Three","Neutral","Two","Average","Africa"
"2024/12/18 9:50:11 AM EST","Yes","20 - 29","Female","Marketing","Manufacturing","Less than 1 year","Remote","40-49","0-9","Three","Medium","Anxiety","No","No Change","Five","Satisfied","Five","Good","Africa"
"2024/12/18 12:12:05 PM EST","Yes","20 - 29","Female","Designer","IT","Less than 1 year","Remote","30-39","0-9","Three","","","","","","","","",""
"2024/12/18 12:13:50 PM EST","Yes","40 - 49","Female","Teacher ","Education","1-3 years","Remote","20-29","10-19","Four","Low","None","No","Increase","Four","Neutral","Three","Good","Asia"
"2024/12/18 12:17:09 PM EST","Yes","20 - 29","Female","Sales","Retail","1-3 years","Onsite","20-29","0-9","Three","Medium","Anxiety","Yes","Increase","Two","Satisfied","Five","Average","Africa"
"2024/12/18 12:23:55 PM EST","Yes","40 - 49","Female","Marketing","Retail","4-6 years","Onsite","40-49","0-9","Four","High","Anxiety","No","Increase","Five","Neutral","One","Average","Africa"
"2024/12/18 12:29:42 PM EST","Yes","Under 20","Non - binary","HR","Education","4-6 years","Remote","20-29","0-9","Two","Medium","Anxiety","No","No Change","Two","Neutral","Two","Poor","Africa"
"2024/12/18 2:32:18 PM EST","Yes","30 - 39","Male","Writer","Writing ","1-3 years","Hybrid","30-39","0-9","Three","Medium","None","No","No Change","Three","Neutral","Three","Average","Africa"
"2024/12/18 4:52:55 PM EST","Yes","40 - 49","Female","Sales","Education","7-10 years","Remote","40-49","10-19","Four","Low","None","No","Increase","Four","Satisfied","Four","Good","Africa"
"2024/12/18 5:18:52 PM EST","Yes","40 - 49","Female","Visual assistant ","","1-3 years","Remote","40-49","0-9","Three","Low","None","Yes","Decrease","Five","Satisfied","Five","Good","Africa"
"2024/12/18 5:36:27 PM EST","No","20 - 29","Female","","","","","","","","","","","","","","","Good","Africa"
"2024/12/19 2:29:49 AM EST","No","30 - 39","Female","Sales","Health Care","4-6 years","Onsite","30-39","0-9","Three","Low","None","Yes","No Change","One","Neutral","One","","Africa"
"2024/12/19 5:36:05 AM EST","Yes","40 - 49","Male","Sales","Retail","7-10 years","Remote","20-29","0-9","Two","Low","None","No","Increase","Three","Satisfied","Three","Good","Africa"
"2024/12/19 5:51:41 AM EST","Yes","40 - 49","Male","Technical manager","Oil and gas","4-6 years","Onsite","40-49","10-19","Three","Medium","None","Yes","No Change","Three","Satisfied","Five","Good","Africa"
"2024/12/19 6:18:01 AM EST","Yes","20 - 29","Male","Sales","Manufacturing","1-3 years","Remote","30-39","10-19","Two","Medium","Anxiety","Yes","No Change","Three","Neutral","Three","Average","Africa"
"2024/12/19 6:18:29 AM EST","Yes","30 - 39","Female","Sales","Finance","1-3 years","Remote","40-49","0-9","Five","Low","None","Yes","Increase","Five","Satisfied","Five","Good","Africa"
"2024/12/19 6:44:24 AM EST","Yes","30 - 39","Female","Sales","Finance","4-6 years","Remote","30-39","0-9","Five","Low","Burnout","Yes","Increase","Two","Satisfied","Five","Good","Africa"
"2024/12/19 8:58:17 AM EST","No","20 - 29","Female","Sales","Health Care","1-3 years","Onsite","60 and above","0-9","One","High","Depression","No","No Change","One","Neutral","One","Poor","Africa"
"2024/12/19 8:59:31 AM EST","Yes","30 - 39","Male","Marketing","Manufacturing","4-6 years","Remote","50-59","10-19","Two","Medium","Burnout","No","Decrease","Four","Unsatisfied","Three","Average","Asia"
"2024/12/19 10:34:00 AM EST","No","20 - 29","Female","Nil","Nil","1-3 years","Onsite","40-49","0-9","","","","","","","","","","Africa"
"2024/12/19 12:45:36 PM EST","Yes","20 - 29","Female","Project Manager","NGO","1-3 years","Hybrid","30-39","0-9","Three","Medium","Burnout","Yes","Increase","Four","Neutral","Two","Average","Africa"
"2024/12/19 7:28:01 PM EST","No","40 - 49","Male","","Health","4-6 years","Onsite","40-49","10-19","Three","Medium","None","Yes","Increase","One","Neutral","Three","Poor","North America"
"2024/12/20 8:50:37 AM EST","Yes","30 - 39","Male","Aluminum ","Self employed ","More than 10 years","Onsite","30-39","0-9","Three","High","None","No","Increase","Two","Neutral","Two","Average","Africa"
"2024/12/21 1:58:07 PM EST","Yes","30 - 39","Male","Project Manager","Consulting","More than 10 years","Hybrid","60 and above","0-9","Three","Medium","Anxiety","No","No Change","Three","Neutral","Four","Good","Africa"
"2024/12/25 9:44:56 AM EST","Yes","20 - 29","Female","HR","IT","Less than 1 year","Remote","20-29","0-9","Two","Medium","Burnout","Yes","Increase","Two","Neutral","Three","Average","Africa"
"2024/12/25 9:46:00 AM EST","Yes","30 - 39","Male","Designer","Consulting","1-3 years","Hybrid","20-29","0-9","One","Low","None","No","No Change","Two","Neutral","Two","Average","Asia"
"2024/12/27 7:02:26 AM EST","Yes","20 - 29","Female","Virtual Assistant ","Health Care","Less than 1 year","Remote","50-59","10-19","Three","Medium","Burnout","No","Increase","Two","Neutral","Three","Poor","Africa"
"2024/12/27 7:09:44 AM EST","Yes","20 - 29","Male","Sales","Manufacturing","1-3 years","Onsite","40-49","30-39","Two","Low","Anxiety","No","No Change","One","Satisfied","One","Poor","Africa"
"2024/12/27 7:52:30 AM EST","No","20 - 29","Female","","Health Care","Less than 1 year","Remote","20-29","0-9","Three","Low","None","No","","Three","Neutral","Three","Average","Africa"
"2024/12/27 9:26:36 AM EST","Yes","30 - 39","Male","Data Scientist","Health Care","1-3 years","Remote","20-29","0-9","Two","Low","Burnout","No","No Change","Four","Satisfied","Four","Poor","Africa"
"2024/12/28 7:23:31 AM EST","Yes","20 - 29","Male","Software Engineer","IT","4-6 years","Remote","40-49","0-9","Four","Medium","None","Yes","Increase","Three","Satisfied","Five","Average","Africa"
"2025/01/02 4:17:21 AM EST","Yes","30 - 39","Male","Devops engineer ","IT","Less than 1 year","Remote","30-39","0-9","Four","Medium","None","Yes","Increase","Three","Satisfied","Four","Average","Europe"
"2025/01/02 4:50:19 AM EST","Yes","30 - 39","Male","Accountant","Construction","More than 10 years","Onsite","40-49","0-9","Four","Medium","None","No","No Change","Three","Satisfied","Four","Good","Africa"
"2025/01/02 4:52:47 AM EST","Yes","30 - 39","Male","IT Help desk Support ","IT","4-6 years","Hybrid","40-49","0-9","Four","High","None","Yes","Increase","Two","Satisfied","Five","Good","Africa"
"2025/01/02 4:53:13 AM EST","Yes","20 - 29","Female","HR","Health Care","1-3 years","Hybrid","20-29","0-9","Four","Low","Burnout","No","Increase","Three","Satisfied","Three","Good","Africa"
"2025/01/02 4:55:53 AM EST","Yes","30 - 39","Male","Marketing","IT","4-6 years","Hybrid","40-49","0-9","Three","Medium","None","No","Increase","Two","Satisfied","Three","Average","Africa"
"2025/01/02 5:15:45 AM EST","Yes","30 - 39","Female","Administrator ","Legal ","More than 10 years","Onsite","40-49","0-9","Four","Low","None","No","No Change","Four","Neutral","Two","Good","Africa"
"2025/01/02 5:28:42 AM EST","Yes","30 - 39","Female","Midwife","Health Care","7-10 years","Remote","30-39","0-9","Three","","Burnout","No","No Change","Four","Unsatisfied","One","Average","Africa"
"2025/01/02 5:32:22 AM EST","Yes","20 - 29","Male","IT Support","","1-3 years","Onsite","20-29","0-9","Three","Low","None","No","No Change","One","Satisfied","Five","Good","Africa"
"2025/01/02 11:44:15 AM EST","Yes","20 - 29","Male","Sales","Retail","7-10 years","Remote","50-59","0-9","Four","Medium","None","No","Increase","Four","Satisfied","Four","Good","Africa"
"2025/01/02 11:50:57 AM EST","Yes","30 - 39","Male","Data Scientist","IT","Less than 1 year","Remote","30-39","0-9","Three","Medium","None","No","Increase","Four","Satisfied","Four","Good","North America"
"2025/01/02 11:52:41 AM EST","Yes","20 - 29","Female","Sales","Health Care","1-3 years","Remote","30-39","0-9","Four","High","Anxiety","No","No Change","Four","Neutral","Three","Good","North America"
"2025/01/02 11:52:58 AM EST","Yes","20 - 29","Male","Financial analyst ","Consulting","4-6 years","Remote","40-49","0-9","Three","Medium","None","Yes","Increase","Three","Satisfied","Four","Good","North America"
"2025/01/02 11:55:18 AM EST","Yes","30 - 39","Female","Sales","Consulting","Less than 1 year","Remote","40-49","0-9","Four","Medium","None","No","Increase","Four","Satisfied","Four","Good","Africa"
"2025/01/02 11:57:01 AM EST","Yes","30 - 39","Female","Designer","Manufacturing","7-10 years","Remote","40-49","0-9","Four","Medium","Anxiety","No","Increase","One","Neutral","Three","Good","Europe"
"2025/01/02 11:59:22 AM EST","Yes","20 - 29","Male","Accountant ","Media","1-3 years","Hybrid","40-49","10-19","Two","Medium","None","No","Increase","One","Satisfied","Three","Good","Africa"
"2025/01/02 12:01:34 PM EST","Yes","30 - 39","Male","Medical Doctor","Health","7-10 years","Remote","40-49","0-9","Two","Medium","Anxiety","No","Decrease","Two","Neutral","Two","Average","Africa"
"2025/01/02 12:12:46 PM EST","Yes","20 - 29","Female","Software Engineer","IT","Less than 1 year","Hybrid","30-39","0-9","Four","Low","None","Yes","Increase","Five","Satisfied","Three","Good","Africa"
"2025/01/02 12:18:25 PM EST","Yes","40 - 49","Male","Sales","Igaming","More than 10 years","Hybrid","60 and above","","Four","Medium","None","Yes","No Change","Three","Neutral","Three","Good","Africa"
"2025/01/02 12:23:22 PM EST","No","20 - 29","Male","Project Manager","Manufacturing","1-3 years","Onsite","30-39","0-9","Two","Medium","None","No","No Change","One","Neutral","Three","Average","Africa"
"2025/01/02 12:27:08 PM EST","Yes","30 - 39","Male","Sales","IT","1-3 years","Remote","30-39","0-9","Three","Medium","None","No","Decrease","One","Satisfied","Three","Good","Europe"
"2025/01/02 12:43:10 PM EST","Yes","30 - 39","Male","Tech Support ","IT","4-6 years","Remote","60 and above","0-9","Three","Medium","None","Yes","Increase","One","Neutral","Three","Good","North America"
"2025/01/02 12:46:32 PM EST","Yes","30 - 39","Female","healthcare aide","Health Care","1-3 years","Onsite","30-39","0-9","Four","Medium","Anxiety","No","No Change","Three","Neutral","Four","Average","Africa"
"2025/01/02 12:50:51 PM EST","Yes","40 - 49","Male","Sales","Software ","4-6 years","Hybrid","50-59","10-19","Three","Medium","None","No","Increase","Three","Satisfied","Four","","Africa"
"2025/01/02 12:51:29 PM EST","Yes","40 - 49","Male","Sales","Gambling Data","7-10 years","Hybrid","40-49","10-19","Four","Medium","None","Yes","No Change","Four","Satisfied","Four","Good","Africa"
"2025/01/02 12:55:10 PM EST","No","","","","","","","","","","","","","","","","","",""
"2025/01/02 1:02:30 PM EST","Yes","30 - 39","Male","Data Scientist","IT","More than 10 years","Hybrid","40-49","20-29","Four","Low","Anxiety","No","Increase","Three","Satisfied","Two","Average","North America"
"2025/01/02 1:05:33 PM EST","No","30 - 39","Male","Materials Coordinator ","Supply Chain ","4-6 years","Onsite","50-59","0-9","Three","Medium","None","Yes","","","","","","Europe"
"2025/01/02 1:09:19 PM EST","Yes","30 - 39","Female","Sales","Finance","1-3 years","Remote","60 and above","10-19","Two","Medium","Burnout","Yes","Increase","Three","Satisfied","Four","Poor","Africa"
"2025/01/02 1:45:10 PM EST","Yes","30 - 39","Female","Marketing","Media","More than 10 years","Hybrid","60 and above","10-19","One","High","Burnout","No","Increase","One","Neutral","One","Poor","Africa"
"2025/01/02 2:18:26 PM EST","Yes","20 - 29","Male","Data Scientist","Education","1-3 years","Remote","20-29","0-9","Five","Medium","None","Yes","Increase","Four","Satisfied","Four","Good","Africa"
"2025/01/02 2:27:27 PM EST","Yes","30 - 39","Male","Product owner ","IT","7-10 years","Remote","40-49","10-19","Three","Low","None","Yes","Increase","Two","Satisfied","Five","Average","North America"
"2025/01/02 5:09:10 PM EST","Yes","30 - 39","Female","Sales","Finance","More than 10 years","Hybrid","40-49","0-9","Four","Medium","None","No","Increase","One","Satisfied","Three","Good","Africa"
"2025/01/02 5:31:24 PM EST","Yes","30 - 39","Male","Consultant","Consulting","1-3 years","Remote","30-39","0-9","Two","Medium","None","No","Increase","One","Satisfied","Three","Good","Africa"
"2025/01/02 6:01:31 PM EST","Yes","30 - 39","Male","Compliance Analyst","Finance","More than 10 years","Hybrid","40-49","0-9","Four","Low","None","Yes","Increase","Two","Satisfied","Three","Average","Africa"
