Timestamp,Have you ever worked remotely (Please exit if No),Age,Gender,Job_Role,Industry,Years_Experience,Work_Location,Hours_Per_Week,Virtual_Meetings_per_week,Work_Life_Balance,Stress_Level,Mental_Health_Condition,Access_to_Mental_Health_Resource,Productivity_Change_Rating,Social_Isolation_Rating,Satisfaction_Level,Company_Support_Rating,Sleep_Quality_Rating,Region
27/01/2025 21:26,Yes,30 - 39,Non-Binary,Accountant,Oil & Gas,1-3 years,Remote,20-29,30+,Four,Low,None,No,No Change,Four,Dissatisfied,Two,Poor,Asia
16/01/2025 20:41,Yes,60+,Male,Teacher,Media,More than 10 years,On-site,20-29,20-29,Five,High,Bipolar Disorder,No,No Change,Five,Neutral,Five,Excellent,Oceania
17/01/2025 18:32,Yes,60+,Non-Binary,Hospitality ,Writing ,1-3 years,Hybrid,50+,20-29,Two,High,Anxiety,No,Decrease,One,Neutral,Five,Excellent,South America
27/01/2025 11:40,Yes,20 - 29,Male,Secretary ,Manufacturing,4-6 years,Remote,20-29,0-9,Five,Medium,Depression,Yes,No Change,Three,Satisfied,Four,Excellent,Oceania
07/02/2025 09:25,Yes,60+,Non-Binary,Writer,Legal ,More than 10 years,Remote,20-29,30+,Five,Low,Anxiety,Yes,No Change,Five,Neutral,Four,Good,Europe
26/01/2025 11:41,Yes,30 - 39,Prefer not to say,Banking ,NGO,4-6 years,On-site,40-49,30+,One,Low,Bipolar Disorder,No,Increase,One,Dissatisfied,Five,Average,South America
17/01/2025 13:41,Yes,20 - 29,Non-Binary,Law Practice ,Technology ,1-3 years,Hybrid,50+,20-29,Four,High,Bipolar Disorder,Yes,Decrease,One,Very Satisfied,Five,Average,Africa
21/01/2025 12:52,Yes,30 - 39,Female,Social Media Strategists ,Publishing ,1-3 years,Remote,20-29,0-9,Five,High,None,Yes,No Change,Two,Very Satisfied,Three,Average,North America
12/02/2025 16:17,Yes,50 - 59,Female,Law Practice ,Health,Less than 1 year,Remote,30-39,Oct-19,Four,High,Burnout,Yes,Increase,Two,Satisfied,Two,Good,Africa
31/01/2025 13:02,Yes,40 - 49,Male,Process Engineer,Oil & Gas,4-6 years,On-site,50+,20-29,Two,Low,Burnout,Yes,Increase,Five,Satisfied,Two,Poor,North America
10/01/2025 10:09,Yes,20 - 29,Male,Accountant ,Finance,Less than 1 year,Remote,20-29,Oct-19,Three,Medium,Depression,Yes,Decrease,One,Neutral,Two,Poor,Asia
23/01/2025 18:27,Yes,20 - 29,Female,Lecturing,Oil & Gas,More than 10 years,On-site,40-49,0-9,One,Low,Depression,No,No Change,Five,Neutral,Two,Average,Asia
06/01/2025 11:21,Yes,60+,Male,Aluminum ,Human Services,7-10 years,Remote,20-29,0-9,One,Medium,None,Yes,Decrease,One,Very Satisfied,Five,Average,Africa
04/02/2025 00:05,Yes,30 - 39,Non-Binary,Product Manager,Health,1-3 years,Hybrid,40-49,30+,Four,Medium,Burnout,No,Decrease,Four,Satisfied,Four,Average,Asia
02/01/2025 17:17,Yes,40 - 49,Non-Binary,Journalist ,Manufacturing,Less than 1 year,Hybrid,30-39,Oct-19,Two,Low,Anxiety,Yes,Increase,Four,Dissatisfied,Three,Average,Asia
21/01/2025 14:32,Yes,20 - 29,Male,Medical Doctor,Retail,7-10 years,On-site,40-49,30+,Three,Medium,None,Yes,No Change,Five,Neutral,Two,Average,Africa
31/01/2025 03:28,Yes,40 - 49,Prefer not to say,Physiotherapist ,Engineering,1-3 years,Hybrid,40-49,0-9,Four,High,Burnout,Yes,Increase,One,Satisfied,One,Poor,Africa
05/02/2025 21:27,Yes,50 - 59,Female,Law Practice ,Gambling Data,4-6 years,Remote,30-39,Oct-19,Four,Medium,Depression,Yes,Decrease,One,Very Satisfied,Five,Average,Europe
10/01/2025 12:50,Yes,20 - 29,Female,Marine Planner ,Publishing ,7-10 years,Hybrid,30-39,30+,One,Medium,Bipolar Disorder,Yes,Increase,Two,Dissatisfied,Four,Poor,Africa
03/02/2025 21:06,Yes,40 - 49,Female,Marketer,Health,1-3 years,Remote,30-39,0-9,Two,Low,Depression,Yes,Increase,One,Neutral,Five,Good,Asia
13/02/2025 21:54,Yes,20 - 29,Female,Military Personnel ,Writing ,7-10 years,Remote,20-29,20-29,Three,Medium,Anxiety,No,Increase,Five,Very Satisfied,One,Good,Oceania
03/01/2025 04:09,Yes,40 - 49,Male,Financial Analyst,Self employed ,Less than 1 year,Hybrid,20-29,20-29,Five,Medium,Depression,Yes,Increase,Five,Dissatisfied,One,Good,North America
06/01/2025 01:13,Yes,50 - 59,Prefer not to say,Midwife,IT,More than 10 years,Remote,50+,20-29,Three,High,None,No,Increase,Four,Neutral,Two,Poor,Asia
04/01/2025 00:45,Yes,50 - 59,Female,IT Support,Hotel Operations ,7-10 years,Hybrid,50+,20-29,Three,Low,Bipolar Disorder,Yes,No Change,Four,Very Satisfied,Three,Average,Oceania
29/01/2025 12:22,Yes,20 - 29,Male,Banking ,Engineering,4-6 years,On-site,50+,20-29,One,High,Bipolar Disorder,Yes,Increase,Five,Dissatisfied,Four,Good,Europe
08/01/2025 20:38,Yes,60+,Prefer not to say,Aluminum ,Education,4-6 years,On-site,40-49,20-29,Two,Low,Anxiety,No,Increase,Four,Neutral,Two,Good,South America
06/01/2025 16:07,Yes,40 - 49,Non-Binary,Virtual Assistant ,Publishing ,4-6 years,Remote,40-49,Oct-19,Four,Medium,Burnout,No,Increase,Two,Dissatisfied,Two,Excellent,Oceania
14/01/2025 05:14,Yes,20 - 29,Female,Marketer,Oil & Gas,More than 10 years,Hybrid,50+,30+,One,High,None,No,No Change,Three,Very Satisfied,One,Poor,Oceania
05/02/2025 13:56,Yes,20 - 29,Male,Lifeskill Coach,Oil & Gas,1-3 years,On-site,40-49,0-9,Four,Medium,Anxiety,Yes,No Change,Four,Very Satisfied,Three,Good,Europe
05/01/2025 12:20,Yes,50 - 59,Female,Writer,Service ,Less than 1 year,Hybrid,50+,0-9,Four,Low,Burnout,Yes,Decrease,One,Satisfied,Five,Poor,Oceania
13/02/2025 22:11,Yes,30 - 39,Male,Lifeskill Coach,Health,4-6 years,Remote,40-49,0-9,Two,Medium,Anxiety,No,Decrease,Four,Neutral,Five,Average,South America
06/02/2025 07:58,Yes,50 - 59,Female,Hospitality ,Supply Chain ,4-6 years,Hybrid,20-29,0-9,One,High,Burnout,Yes,Increase,One,Satisfied,One,Good,North America
10/01/2025 03:32,Yes,60+,Female,Executive Assistant ,Technology ,4-6 years,Remote,20-29,Oct-19,Two,High,None,Yes,Increase,Three,Satisfied,Two,Poor,Europe
19/01/2025 02:48,Yes,40 - 49,Female,Journalist ,Gaming,1-3 years,Hybrid,20-29,20-29,Three,Medium,Burnout,No,Increase,Two,Very Satisfied,Three,Average,Asia
24/01/2025 06:06,Yes,60+,Prefer not to say,Administrator,Hotel Operations ,7-10 years,Remote,40-49,0-9,One,Medium,Burnout,No,Decrease,Five,Satisfied,Four,Poor,North America
04/02/2025 14:53,Yes,20 - 29,Non-Binary,Administrator,IT,Less than 1 year,Remote,30-39,20-29,Three,Medium,Depression,Yes,No Change,Four,Very Satisfied,Three,Excellent,North America
14/02/2025 16:56,Yes,50 - 59,Prefer not to say,Production Engineer ,Oil & Gas,7-10 years,On-site,30-39,20-29,Three,Low,Anxiety,No,Decrease,Five,Satisfied,Four,Average,Oceania
13/02/2025 18:09,Yes,60+,Non-Binary,Executive Assistant ,Gaming,More than 10 years,Hybrid,20-29,0-9,Two,High,Depression,No,Increase,Five,Neutral,One,Good,Africa
15/01/2025 05:37,Yes,40 - 49,Prefer not to say,Virtual Assistant ,Gaming,4-6 years,Hybrid,50+,0-9,One,Medium,Burnout,Yes,No Change,Three,Dissatisfied,Five,Average,Europe
09/02/2025 08:38,Yes,60+,Prefer not to say,Production Engineer ,Service ,Less than 1 year,Remote,30-39,Oct-19,One,High,Anxiety,No,Decrease,One,Dissatisfied,Three,Good,Europe
20/01/2025 09:24,Yes,20 - 29,Male,Financial Analyst,Oil & Gas,7-10 years,Remote,30-39,30+,Two,Low,Depression,Yes,Decrease,Four,Neutral,One,Good,South America
23/01/2025 17:16,Yes,30 - 39,Prefer not to say,Designer,Oil & Gas,More than 10 years,Remote,30-39,30+,Three,Medium,Burnout,No,No Change,Three,Neutral,One,Average,Asia
14/01/2025 22:16,Yes,40 - 49,Female,Production Engineer ,Finance,1-3 years,Remote,20-29,Oct-19,Two,Medium,None,No,No Change,Three,Satisfied,Two,Excellent,Asia
06/01/2025 22:16,Yes,60+,Non-Binary,Consultant,Oil & Gas,Less than 1 year,Hybrid,40-49,0-9,Four,High,Anxiety,Yes,Decrease,Four,Neutral,Two,Average,Asia
07/01/2025 19:40,Yes,60+,Prefer not to say,Accountant ,Engineering,7-10 years,On-site,20-29,30+,One,Low,Depression,No,No Change,Three,Very Satisfied,Two,Poor,Europe
15/01/2025 12:54,Yes,60+,Non-Binary,IT Support,Human Services,Less than 1 year,Remote,30-39,30+,Two,Medium,Depression,No,Decrease,Five,Satisfied,Five,Good,South America
